fT (L_var=1.05e-06) X,fT (L_var=1.05e-06) Y,fT (L_var=2.05e-06) X,fT (L_var=2.05e-06) Y,fT (L_var=3.05e-06) X,fT (L_var=3.05e-06) Y,fT (L_var=4.05e-06) X,fT (L_var=4.05e-06) Y,fT (L_var=5.05e-06) X,fT (L_var=5.05e-06) Y,fT (L_var=6.05e-06) X,fT (L_var=6.05e-06) Y,fT (L_var=7.05e-06) X,fT (L_var=7.05e-06) Y,fT (L_var=8.05e-06) X,fT (L_var=8.05e-06) Y,fT (L_var=9.05e-06) X,fT (L_var=9.05e-06) Y,fT (L_var=1.005e-05) X,fT (L_var=1.005e-05) Y,fT (L_var=1.105e-05) X,fT (L_var=1.105e-05) Y,fT (L_var=1.205e-05) X,fT (L_var=1.205e-05) Y,fT (L_var=1.305e-05) X,fT (L_var=1.305e-05) Y,fT (L_var=1.405e-05) X,fT (L_var=1.405e-05) Y
0.45,216794418.0844003,0.45,67992093.89162202,0.45,32133517.04494906,0.45,18546238.7322062,0.45,12025622.85366762,0.45,8413413.817613997,0.45,6209597.801342097,0.45,4768386.33457033,0.45,3775234.510937751,0.45,3062280.33353139,0.45,2533396.08119266,0.45,2130353.417566236,0.45,1816227.499830912,0.45,1566693.224778798
0.5105263,280326841.3794788,0.5105263,77800516.25759245,0.5105263,35739542.02181836,0.5105263,20455349.99730761,0.5105263,13237001.70073845,0.5105263,9263448.914378397,0.5105263,6844323.574425667,0.5105263,5262641.427760675,0.5105263,4171964.431776852,0.5105263,3388185.760334631,0.5105263,2806085.10437936,0.5105263,2361969.986760393,0.5105263,2015446.845514835,0.5105263,1739891.16123531
0.5710526,431349189.3970007,0.5710526,121527448.9332685,0.5710526,56326006.60567389,0.5710526,32453865.31029191,0.5710526,21107871.75493666,0.5710526,14828927.82311414,0.5710526,10989523.74864493,0.5710526,8470179.294177273,0.5710526,6727738.418583938,0.5710526,5472478.297504056,0.5710526,4538267.705696813,0.5710526,3824247.113452085,0.5710526,3266284.978998184,0.5710526,2822012.96790806
0.6315789000000001,709808785.5852294,0.6315789000000001,197906242.0071935,0.6315789000000001,91326068.94425522,0.6315789000000001,52469988.80329851,0.6315789000000001,34055697.15208539,0.6315789000000001,23888125.54601626,0.6315789000000001,17682244.20817196,0.6315789000000001,13616091.62769935,0.6315789000000001,10807246.99447049,0.6315789000000001,8785760.819111427,0.6315789000000001,7282533.726416223,0.6315789000000001,6134396.325416387,0.6315789000000001,5237711.512220573,0.6315789000000001,4524078.186470638
0.6921053,1022218510.313308,0.6921053,281666088.2989459,0.6921053,129388197.5647842,0.6921053,74116403.2304011,0.6921053,48001703.17145029,0.6921053,33616423.15821859,0.6921053,24852876.87250085,0.6921053,19119732.00489938,0.6921053,15164303.07925466,0.6921053,12320552.77930219,0.6921053,10207655.83462054,0.6921053,8594994.876892498,0.6921053,7336259.370198809,0.6921053,6334979.743784004
0.7526316,1316692870.095811,0.7526316,361315668.9885201,0.7526316,165715594.4402384,0.7526316,94813874.51559529,0.7526316,61350575.18727358,0.7526316,42934763.25801027,0.7526316,31724844.3823524,0.7526316,24396216.13348041,0.7526316,19342854.95009052,0.7526316,15711429.20795488,0.7526316,13014325.04297034,0.7526316,10956423.44207411,0.7526316,9350587.173752027,0.7526316,8073483.495503648
0.8131579,1589320707.643388,0.8131579,436435235.7419888,0.8131579,200218637.3407457,0.8131579,114546693.6805777,0.8131579,74107804.08464068,0.8131579,51854810.95936157,0.8131579,38311026.05885197,0.8131579,29457921.4124449,0.8131579,23354226.21946717,0.8131579,18968548.3900153,0.8131579,15711588.29325939,0.8131579,13226727.35249109,0.8131579,11287859.56054216,0.8131579,9745987.957445575
0.8736842,1846298483.803445,0.8736842,508530289.9032734,0.8736842,233557238.2291669,0.8736842,133682865.1467614,0.8736842,86507465.29485898,0.8736842,60538355.0843131,0.8736842,44729840.75680187,0.8736842,34395230.4558041,0.8736842,27269641.20830144,0.8736842,22149468.66556896,0.8736842,18346916.48380125,0.8736842,15445720.90479512,0.8736842,13181942.99712552,0.8736842,11381647.87712896
0.9342105000000001,2091569865.863774,0.9342105000000001,578457477.74973,0.9342105000000001,266091003.7978066,0.9342105000000001,152417735.2797435,0.9342105000000001,98671601.59946918,0.9342105000000001,69068665.17466626,0.9342105000000001,51041652.0771335,0.9342105000000001,39253878.08406422,0.9342105000000001,31124934.64995898,0.9342105000000001,25283017.87903717,0.9342105000000001,20943998.29091815,0.9342105000000001,17633212.4843474,0.9342105000000001,15049644.70896389,0.9342105000000001,12994901.73170177
0.9947368,2326606416.903684,0.9947368,646482939.0731429,0.9947368,297923100.1945,0.9947368,170804802.9266927,0.9947368,110632622.5571037,0.9947368,77467377.37155592,0.9947368,57261894.52265953,0.9947368,44045416.63328053,0.9947368,34929072.75876816,0.9947368,28376354.88020667,0.9947368,23508680.46477738,0.9947368,19794066.41627397,0.9947368,16895074.42123468,0.9947368,14589267.09077887
