fT (L_var=1.05e-06) X,fT (L_var=1.05e-06) Y,fT (L_var=2.05e-06) X,fT (L_var=2.05e-06) Y,fT (L_var=3.05e-06) X,fT (L_var=3.05e-06) Y,fT (L_var=4.05e-06) X,fT (L_var=4.05e-06) Y,fT (L_var=5.05e-06) X,fT (L_var=5.05e-06) Y,fT (L_var=6.05e-06) X,fT (L_var=6.05e-06) Y,fT (L_var=7.05e-06) X,fT (L_var=7.05e-06) Y,fT (L_var=8.05e-06) X,fT (L_var=8.05e-06) Y,fT (L_var=9.05e-06) X,fT (L_var=9.05e-06) Y,fT (L_var=1.005e-05) X,fT (L_var=1.005e-05) Y,fT (L_var=1.105e-05) X,fT (L_var=1.105e-05) Y,fT (L_var=1.205e-05) X,fT (L_var=1.205e-05) Y,fT (L_var=1.305e-05) X,fT (L_var=1.305e-05) Y,fT (L_var=1.405e-05) X,fT (L_var=1.405e-05) Y
0.45,302143.028360858,0.45,134845.9296116893,0.45,91414.8767847002,0.45,70803.97108653642,0.45,58523.80067641583,0.45,50193.69108347401,0.45,44076.27925519122,0.45,39345.30487421722,0.45,35553.57821048793,0.45,32434.9444271588,0.45,29819.13578462004,0.45,27590.95516359884,0.45,25668.97481448521,0.45,23993.61643945917
0.5105263,1789993.212356617,0.5105263,807243.3347585121,0.5105263,545364.6229345236,0.5105263,420507.3968612924,0.5105263,345904.0952599544,0.5105263,295215.655768863,0.5105263,257966.4859611279,0.5105263,229159.6381887766,0.5105263,206082.589295911,0.5105263,187116.4473272031,0.5105263,171223.1183222239,0.5105263,157699.0042827457,0.5105263,146046.1619340949,0.5105263,135900.0119035151
0.5710526,9701485.423373258,0.5710526,4365567.888431102,0.5710526,2887683.809004996,0.5710526,2174238.365633166,0.5710526,1744851.137179726,0.5710526,1452677.91350121,0.5710526,1238697.682728113,0.5710526,1074368.464311436,0.5710526,943967.1197503908,0.5710526,837979.2207809703,0.5710526,750233.6206847325,0.5710526,676513.0011433891,0.5710526,613817.8008364597,0.5710526,559947.1549750968
0.6315789000000001,41526536.07326467,0.6315789000000001,17344435.52495385,0.6315789000000001,10428183.99805069,0.6315789000000001,7157559.389821944,0.6315789000000001,5270160.427873181,0.6315789000000001,4056951.131396182,0.6315789000000001,3223350.431107685,0.6315789000000001,2623617.735632105,0.6315789000000001,2177054.562948723,0.6315789000000001,1835406.766104709,0.6315789000000001,1568164.663991038,0.6315789000000001,1355196.049712119,0.6315789000000001,1182755.353468867,0.6315789000000001,1041189.430235583
0.6921053,100040033.8073079,0.6921053,33548802.24441253,0.6921053,16924719.88206578,0.6921053,10187400.40195707,0.6921053,6790399.929744018,0.6921053,4841595.499827244,0.6921053,3622392.735363739,0.6921053,2810174.375371263,0.6921053,2242537.56079812,0.6921053,1830546.655394676,0.6921053,1522222.740174502,0.6921053,1285562.48499703,0.6921053,1100001.011781632,0.6921053,951842.2436638167
0.7526316,128800513.4839863,0.7526316,36081864.72924544,0.7526316,16691294.70717764,0.7526316,9576205.994534587,0.7526316,6200682.486979275,0.7526316,4339293.318625854,0.7526316,3205545.914624129,0.7526316,2464334.979583868,0.7526316,1953360.166797467,0.7526316,1586278.309425901,0.7526316,1313726.933570553,0.7526316,1105828.508230801,0.7526316,943640.4937459271,0.7526316,814682.0965908779
0.8131579,176936135.3917284,0.8131579,46175650.85235796,0.8131579,21020973.83784246,0.8131579,12029573.12336742,0.8131579,7803892.585090947,0.8131579,5478401.563301024,0.8131579,4060296.212418618,0.8131579,3130876.432869746,0.8131579,2488297.987911523,0.8131579,2025335.508558792,0.8131579,1680661.998772601,0.8131579,1417102.648162838,0.8131579,1211039.710370603,0.8131579,1046875.927685048
0.8736842,287095887.6529921,0.8736842,74475172.84334216,0.8736842,33854589.85567624,0.8736842,19372112.59037188,0.8736842,12570481.85263245,0.8736842,8827206.205034159,0.8736842,6543892.119428049,0.8736842,5046952.901482276,0.8736842,4011714.839718138,0.8736842,3265676.131607787,0.8736842,2710149.036828979,0.8736842,2285293.976455917,0.8736842,1953083.1171645,0.8736842,1688396.301564169
0.9342105000000001,425974123.1086548,0.9342105000000001,111755042.9285749,0.9342105000000001,50835652.70252568,0.9342105000000001,29052127.87017347,0.9342105000000001,18820090.52382332,0.9342105000000001,13194414.82416676,0.9342105000000001,9767540.729603836,0.9342105000000001,7524064.444750203,0.9342105000000001,5974622.209086603,0.9342105000000001,4859380.102211533,0.9342105000000001,4029824.230726861,0.9342105000000001,3395996.473767388,0.9342105000000001,2900790.238602175,0.9342105000000001,2506522.244146426
0.9947368,562791523.5267317,0.9947368,149212383.3367375,0.9947368,67962464.49697086,0.9947368,38817451.08062781,0.9947368,25119757.23224096,0.9947368,17592192.57305265,0.9947368,13010662.24485468,0.9947368,10014063.06223986,0.9947368,7946346.415041351,0.9947368,6459291.277376797,0.9947368,5353977.776650266,0.9947368,4509998.238119591,0.9947368,3850971.56306601,0.9947368,3326531.798234717
1.055263,690080887.6140012,1.055263,184491633.8924065,1.055263,84161864.93351036,1.055263,48073180.06693033,1.055263,31097899.48452753,1.055263,21768814.2678346,1.055263,16092420.5720231,1.055263,12381167.62504197,1.055263,9821374.813458843,1.055263,7981146.599196536,1.055263,6613806.877459938,1.055263,5570081.228194643,1.055263,4755306.833309089,1.055263,4107083.351089437
1.115789,809129521.5510366,1.115789,217832991.4425533,1.115789,99537274.06166716,1.115789,56879724.93823867,1.115789,36795162.84120502,1.115789,25753812.27273408,1.115789,19035338.96002152,1.115789,14643149.85106283,1.115789,11614093.79147695,1.115789,9436830.159872133,1.115789,7819292.288824696,1.115789,6584744.499802199,1.115789,5621119.162536131,1.115789,4854551.296141225
