fT (L_var=3.5e-07) X,fT (L_var=3.5e-07) Y,fT (L_var=4.5e-07) X,fT (L_var=4.5e-07) Y,fT (L_var=5.5e-07) X,fT (L_var=5.5e-07) Y,fT (L_var=6.5e-07) X,fT (L_var=6.5e-07) Y,fT (L_var=7.5e-07) X,fT (L_var=7.5e-07) Y,fT (L_var=8.5e-07) X,fT (L_var=8.5e-07) Y,fT (L_var=9.5e-07) X,fT (L_var=9.5e-07) Y,fT (L_var=1.05e-06) X,fT (L_var=1.05e-06) Y,fT (L_var=1.15e-06) X,fT (L_var=1.15e-06) Y,fT (L_var=1.25e-06) X,fT (L_var=1.25e-06) Y,fT (L_var=1.35e-06) X,fT (L_var=1.35e-06) Y,fT (L_var=1.45e-06) X,fT (L_var=1.45e-06) Y,fT (L_var=1.55e-06) X,fT (L_var=1.55e-06) Y,fT (L_var=1.65e-06) X,fT (L_var=1.65e-06) Y,fT (L_var=1.75e-06) X,fT (L_var=1.75e-06) Y,fT (L_var=1.85e-06) X,fT (L_var=1.85e-06) Y,fT (L_var=1.95e-06) X,fT (L_var=1.95e-06) Y,fT (L_var=2.05e-06) X,fT (L_var=2.05e-06) Y,fT (L_var=2.15e-06) X,fT (L_var=2.15e-06) Y,fT (L_var=2.25e-06) X,fT (L_var=2.25e-06) Y,fT (L_var=2.35e-06) X,fT (L_var=2.35e-06) Y,fT (L_var=2.45e-06) X,fT (L_var=2.45e-06) Y,fT (L_var=2.55e-06) X,fT (L_var=2.55e-06) Y,fT (L_var=2.65e-06) X,fT (L_var=2.65e-06) Y,fT (L_var=2.75e-06) X,fT (L_var=2.75e-06) Y,fT (L_var=2.85e-06) X,fT (L_var=2.85e-06) Y,fT (L_var=2.95e-06) X,fT (L_var=2.95e-06) Y,fT (L_var=3.05e-06) X,fT (L_var=3.05e-06) Y,fT (L_var=3.15e-06) X,fT (L_var=3.15e-06) Y,fT (L_var=3.25e-06) X,fT (L_var=3.25e-06) Y,fT (L_var=3.35e-06) X,fT (L_var=3.35e-06) Y,fT (L_var=3.45e-06) X,fT (L_var=3.45e-06) Y,fT (L_var=3.55e-06) X,fT (L_var=3.55e-06) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,1504.60555303514,0.04081633,1273.043910331615,0.04081633,1331.982450091313,0.04081633,1425.822967194418,0.04081633,1503.316084486046,0.04081633,1556.372416719642,0.04081633,1587.798668394557,0.04081633,1602.317666087773,0.04081633,1604.193299387633,0.04081633,1596.797649056741,0.04081633,1582.68824871036,0.04081633,1563.779127661703,0.04081633,1541.498092657695,0.04081633,1516.91049127304,0.04081633,1490.812057908359,0.04081633,1463.797540787959,0.04081633,1436.311293671927,0.04081633,1408.684656297029,0.04081633,1381.163692200136,0.04081633,1353.929876399612,0.04081633,1327.115607196894,0.04081633,1300.815898377481,0.04081633,1275.09723681396,0.04081633,1250.00432435652,0.04081633,1225.565231598796,0.04081633,1201.795352962212,0.04081633,1178.700452275754,0.04081633,1156.279014814981,0.04081633,1134.524068007262,0.04081633,1113.424593300122,0.04081633,1092.966622185522,0.04081633,1073.134087329436,0.04081633,1053.909483193031
0.08163265,6222.964944474104,0.08163265,5233.77418659648,0.08163265,5452.806607970708,0.08163265,5818.421589357365,0.08163265,6119.51220073147,0.08163265,6322.965805708387,0.08163265,6440.172676357094,0.08163265,6490.229894089495,0.08163265,6490.308849238375,0.08163265,6453.937266867621,0.08163265,6391.337387583469,0.08163265,6310.131847668447,0.08163265,6215.986350669361,0.08163265,6113.112625749932,0.08163265,6004.644220876113,0.08163265,5892.913331887748,0.08163265,5779.654266051119,0.08163265,5666.153355862324,0.08163265,5553.359908478948,0.08163265,5441.968745542643,0.08163265,5332.481939438489,0.08163265,5225.255234340577,0.08163265,5120.533127659714,0.08163265,5018.475506486762,0.08163265,4919.177958566223,0.08163265,4822.687319028736,0.08163265,4729.013609772722,0.08163265,4638.139233790364,0.08163265,4550.026070856487,0.08163265,4464.620961834984,0.08163265,4381.859950819125,0.08163265,4301.671566290326,0.08163265,4223.979356446978
0.122449,22896.77523638361,0.122449,19178.14180655326,0.122449,19923.94861461068,0.122449,21216.54108542911,0.122449,22280.6367204131,0.122449,22994.49268211341,0.122449,23398.9042149967,0.122449,23562.72645939704,0.122449,23547.84686457941,0.122449,23402.97062926579,0.122449,23164.85707346877,0.122449,22860.879831685,0.122449,22511.35385807383,0.122449,22131.35480888744,0.122449,21732.07737475769,0.122449,21321.83513071841,0.122449,20906.79479046932,0.122449,20491.51671303319,0.122449,20079.35452439661,0.122449,19672.75209377255,0.122449,19273.46540814019,0.122449,18882.72920828206,0.122449,18501.3827646816,0.122449,18129.9652538401,0.122449,17768.788388135,0.122449,17417.99193141386,0.122449,17077.58627004741,0.122449,16747.48514443998,0.122449,16427.53086646133,0.122449,16117.51377401956,0.122449,15817.18724849579,0.122449,15526.27930367402,0.122449,15244.50151721098
0.1632653,82698.28367914577,0.1632653,68997.96822312575,0.1632653,71477.40253137764,0.1632653,75957.23296267082,0.1632653,79644.46370845361,0.1632653,82099.69489359786,0.1632653,83465.76693866143,0.1632653,83985.89051428075,0.1632653,83878.74005135239,0.1632653,83316.34172943185,0.1632653,82428.43919072923,0.1632653,81311.55654597214,0.1632653,80037.23942857356,0.1632653,78658.5008825923,0.1632653,77214.63503009363,0.1632653,75734.76038397809,0.1632653,74240.42125149074,0.1632653,72747.50172961192,0.1632653,71267.63979651041,0.1632653,69809.27725927907,0.1632653,68378.4433915884,0.1632653,66979.34282147334,0.1632653,65614.79873550533,0.1632653,64286.58853461044,0.1632653,62995.69909421788,0.1632653,61742.52159657819,0.1632653,60527.00070626871,0.1632653,59348.74907856229,0.1632653,58207.13542398682,0.1632653,57101.35231570054,0.1632653,56030.46841894221,0.1632653,54993.46869895743,0.1632653,53989.28532348653
0.2040816,296676.7822281035,0.2040816,246557.9961667205,0.2040816,254600.3100681355,0.2040816,269892.8996086954,0.2040816,282461.9867315904,0.2040816,290739.9762819649,0.2040816,295224.4087627833,0.2040816,296767.1288420773,0.2040816,296133.7724693342,0.2040816,293926.2003513885,0.2040816,290597.8975571632,0.2040816,286485.8010716714,0.2040816,281839.2374647308,0.2040816,276842.5668258505,0.2040816,271632.0988943758,0.2040816,266308.5454559366,0.2040816,260946.159524081,0.2040816,255599.4549905597,0.2040816,250308.1664350761,0.2040816,245100.9273527668,0.2040816,239998.011682828,0.2040816,235013.3874145809,0.2040816,230156.2622685947,0.2040816,225432.2522706896,0.2040816,220844.2687916416,0.2040816,216393.1942680836,0.2040816,212078.3984882975,0.2040816,207898.1340001259,0.2040816,203849.8394562866,0.2040816,199930.3725492375,0.2040816,196136.1888901354,0.2040816,192463.4792462613,0.2040816,188908.2746047416
0.244898,1057242.808579106,0.244898,875086.0221536718,0.244898,900079.0173277261,0.244898,951027.385316797,0.244898,992687.5919777945,0.244898,1019566.562341431,0.244898,1033404.661208005,0.244898,1037165.504516091,0.244898,1033505.104724205,0.244898,1024506.654118687,0.244898,1011736.278540803,0.244898,996354.6356971243,0.244898,979217.9922580356,0.244898,960957.2326419314,0.244898,942036.8475372791,0.244898,922798.3237830746,0.244898,903491.9538954676,0.244898,884300.1895549956,0.244898,865354.8478917364,0.244898,846749.845484936,0.244898,828550.6679522492,0.244898,810801.445979549,0.244898,793530.2672894666,0.244898,776753.1814737865,0.244898,760477.2310065528,0.244898,744702.7529083671,0.244898,729425.1313835199,0.244898,714636.1351828877,0.244898,700324.9394589578,0.244898,686478.9069315766,0.244898,673084.1847602873,0.244898,660126.1598477649,0.244898,647589.8050869752
0.2857143,3726633.378537259,0.2857143,3071145.525664778,0.2857143,3142030.623920226,0.2857143,3303771.960657584,0.2857143,3434039.828468114,0.2857143,3514219.1563614,0.2857143,3550496.317219547,0.2857143,3553107.773196705,0.2857143,3531152.11459152,0.2857143,3491726.822778647,0.2857143,3440141.576130976,0.2857143,3380311.02377852,0.2857143,3315106.340938516,0.2857143,3246628.767037608,0.2857143,3176413.246430599,0.2857143,3105577.831600516,0.2857143,3034932.908384858,0.2857143,2965061.138831881,0.2857143,2896376.161934726,0.2857143,2829165.877626288,0.2857143,2763624.508531192,0.2857143,2699876.457753674,0.2857143,2637994.139520401,0.2857143,2578011.358710856,0.2857143,2519933.385817018,0.2857143,2463744.565840262,0.2857143,2409414.077765915,0.2857143,2356900.30060925,0.2857143,2306154.125102753,0.2857143,2257121.464486515,0.2857143,2209745.154842721,0.2857143,2163966.388760622,0.2857143,2119725.791377808
0.3265306,12879532.53173493,0.3265306,10559937.71989628,0.3265306,10716448.88238244,0.3265306,11177343.99389023,0.3265306,11531492.19192799,0.3265306,11719849.02105131,0.3265306,11765249.71262064,0.3265306,11702882.06785973,0.3265306,11563463.02159542,0.3265306,11370687.14759406,0.3265306,11142107.7815802,0.3265306,10890534.5754783,0.3265306,10625254.30918492,0.3265306,10352971.35804343,0.3265306,10078503.56489456,0.3265306,9805290.185100991,0.3265306,9535761.386700679,0.3265306,9271607.282153061,0.3265306,9013974.374532148,0.3265306,8763609.544204721,0.3265306,8520966.016559372,0.3265306,8286281.664601802,0.3265306,8059637.085641936,0.3265306,7840998.817060847,0.3265306,7630251.578271835,0.3265306,7427222.369776887,0.3265306,7231698.502181847,0.3265306,7043441.0812306,0.3265306,6862195.078364464,0.3265306,6687696.82713543,0.3265306,6519679.573705763,0.3265306,6357877.553264176,0.3265306,6202028.94822857
0.3673469,42972308.86403804,0.3673469,34981659.29673901,0.3673469,35011536.62937123,0.3673469,35972477.44382548,0.3673469,36562790.59367301,0.3673469,36622313.34933978,0.3673469,36243291.1871943,0.3673469,35548904.86865892,0.3673469,34642771.88132706,0.3673469,33602932.78213707,0.3673469,32485883.5734479,0.3673469,31331764.98402407,0.3673469,30168725.04334316,0.3673469,29016231.61097275,0.3673469,27887503.33227855,0.3673469,26791271.82410992,0.3673469,25733054.02476261,0.3673469,24716070.48657976,0.3673469,23741908.87747295,0.3673469,22811004.1789688,0.3673469,21922986.7716837,0.3673469,21076935.02768518,0.3673469,20271558.64597737,0.3673469,19505331.58516849,0.3673469,18776588.19464568,0.3673469,18083592.39810752,0.3673469,17424587.0997422,0.3673469,16797829.05295825,0.3673469,16201613.03648653,0.3673469,15634288.16942629,0.3673469,15094268.45741893,0.3673469,14580039.12001935,0.3673469,14090159.85014431
