gm_id_fT (L_var=3.5e-07) X,gm_id_fT (L_var=3.5e-07) Y,gm_id_fT (L_var=4.5e-07) X,gm_id_fT (L_var=4.5e-07) Y,gm_id_fT (L_var=5.5e-07) X,gm_id_fT (L_var=5.5e-07) Y,gm_id_fT (L_var=6.5e-07) X,gm_id_fT (L_var=6.5e-07) Y,gm_id_fT (L_var=7.5e-07) X,gm_id_fT (L_var=7.5e-07) Y,gm_id_fT (L_var=8.5e-07) X,gm_id_fT (L_var=8.5e-07) Y,gm_id_fT (L_var=9.5e-07) X,gm_id_fT (L_var=9.5e-07) Y,gm_id_fT (L_var=1.05e-06) X,gm_id_fT (L_var=1.05e-06) Y,gm_id_fT (L_var=1.15e-06) X,gm_id_fT (L_var=1.15e-06) Y,gm_id_fT (L_var=1.25e-06) X,gm_id_fT (L_var=1.25e-06) Y,gm_id_fT (L_var=1.35e-06) X,gm_id_fT (L_var=1.35e-06) Y,gm_id_fT (L_var=1.45e-06) X,gm_id_fT (L_var=1.45e-06) Y,gm_id_fT (L_var=1.55e-06) X,gm_id_fT (L_var=1.55e-06) Y,gm_id_fT (L_var=1.65e-06) X,gm_id_fT (L_var=1.65e-06) Y,gm_id_fT (L_var=1.75e-06) X,gm_id_fT (L_var=1.75e-06) Y,gm_id_fT (L_var=1.85e-06) X,gm_id_fT (L_var=1.85e-06) Y,gm_id_fT (L_var=1.95e-06) X,gm_id_fT (L_var=1.95e-06) Y,gm_id_fT (L_var=2.05e-06) X,gm_id_fT (L_var=2.05e-06) Y,gm_id_fT (L_var=2.15e-06) X,gm_id_fT (L_var=2.15e-06) Y,gm_id_fT (L_var=2.25e-06) X,gm_id_fT (L_var=2.25e-06) Y,gm_id_fT (L_var=2.35e-06) X,gm_id_fT (L_var=2.35e-06) Y,gm_id_fT (L_var=2.45e-06) X,gm_id_fT (L_var=2.45e-06) Y,gm_id_fT (L_var=2.55e-06) X,gm_id_fT (L_var=2.55e-06) Y,gm_id_fT (L_var=2.65e-06) X,gm_id_fT (L_var=2.65e-06) Y,gm_id_fT (L_var=2.75e-06) X,gm_id_fT (L_var=2.75e-06) Y,gm_id_fT (L_var=2.85e-06) X,gm_id_fT (L_var=2.85e-06) Y,gm_id_fT (L_var=2.95e-06) X,gm_id_fT (L_var=2.95e-06) Y,gm_id_fT (L_var=3.05e-06) X,gm_id_fT (L_var=3.05e-06) Y,gm_id_fT (L_var=3.15e-06) X,gm_id_fT (L_var=3.15e-06) Y,gm_id_fT (L_var=3.25e-06) X,gm_id_fT (L_var=3.25e-06) Y,gm_id_fT (L_var=3.35e-06) X,gm_id_fT (L_var=3.35e-06) Y,gm_id_fT (L_var=3.45e-06) X,gm_id_fT (L_var=3.45e-06) Y,gm_id_fT (L_var=3.55e-06) X,gm_id_fT (L_var=3.55e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,46854.60360289499,0.04081633,39643.71059707635,0.04081633,41477.36257821866,0.04081633,44397.34123473312,0.04081633,46808.16168112718,0.04081633,48458.15023368538,0.04081633,49434.80742233459,0.04081633,49885.22993418586,0.04081633,49942.18891952943,0.04081633,49710.67009958554,0.04081633,49270.28929586791,0.04081633,48680.62323247564,0.04081633,47986.10933104478,0.04081633,47219.90051418573,0.04081633,46406.7566308953,0.04081633,45565.18140729756,0.04081633,44708.99764745735,0.04081633,43848.51098913825,0.04081633,42991.37338585112,0.04081633,42143.22706554908,0.04081633,41308.18733906464,0.04081633,40489.20649510994,0.04081633,39688.34945373136,0.04081633,38907.00356191266,0.04081633,38146.03895733175,0.04081633,37405.9316245494,0.04081633,36686.85814574755,0.04081633,35988.76886856034,0.04081633,35311.44453997101,0.04081633,34654.5402188946,0.04081633,34017.61936167254,0.04081633,33400.18028849172,0.04081633,32801.67672315432
0.08163265,193720.7182139261,0.08163265,162928.4311807249,0.08163265,169733.5631099205,0.08163265,181097.6400551704,0.08163265,190452.46897901,0.08163265,196769.048478853,0.08163265,200402.684377574,0.08163265,201948.0370700191,0.08163265,201939.56585031,0.08163265,200798.2012217625,0.08163265,198841.944334453,0.08163265,196307.8737127308,0.08163265,193372.1656089725,0.08163265,190165.7560801944,0.08163265,186786.0400815419,0.08163265,183305.48780325,0.08163265,179777.976317862,0.08163265,176243.4540020847,0.08163265,172731.3920698073,0.08163265,169263.3519176706,0.08163265,165854.9051064666,0.08163265,162517.0768339593,0.08163265,159257.4366431045,0.08163265,156080.9264484081,0.08163265,152990.4918340555,0.08163265,149987.5651980313,0.08163265,147072.4367320939,0.08163265,144244.5400596913,0.08163265,141502.6726367294,0.08163265,138845.1660679347,0.08163265,136270.0178197745,0.08163265,133774.993072346,0.08163265,131357.7033988585
0.122449,712319.8308149151,0.122449,596635.7167866714,0.122449,619744.4516975587,0.122449,659836.393238528,0.122449,692816.3576658537,0.122449,714908.9296717505,0.122449,727388.0457290271,0.122449,732396.8277706862,0.122449,731859.9331880456,0.122449,727291.2513886655,0.122449,719832.8500016922,0.122449,710334.8402703736,0.122449,699427.8620670674,0.122449,687579.7164151596,0.122449,675137.6259308603,0.122449,662359.3297278018,0.122449,649435.9103983154,0.122449,636508.5922511822,0.122449,623681.157288011,0.122449,611029.1693997273,0.122449,598606.8639477147,0.122449,586452.3206709202,0.122449,574591.3670942932,0.122449,563040.53767776,0.122449,551809.3265954327,0.122449,540901.9091748581,0.122449,530318.4615459783,0.122449,520056.1749494019,0.122449,510110.0369230343,0.122449,500473.4337408202,0.122449,491138.6152579165,0.122449,482097.0534667642,0.122449,473339.7186892634
0.1632653,2569689.280568659,0.1632653,2143954.942567802,0.1632653,2220358.249320446,0.1632653,2358746.211572936,0.1632653,2472488.208877656,0.1632653,2548009.079314806,0.1632653,2589778.025723314,0.1632653,2605358.370611177,0.1632653,2601539.96290846,0.1632653,2583658.887211398,0.1632653,2555736.27965984,0.1632653,2520761.354823223,0.1632653,2480948.064881628,0.1632653,2437935.583394438,0.1632653,2392937.884622625,0.1632653,2346853.765402858,0.1632653,2300347.567005322,0.1632653,2253908.530841419,0.1632653,2207894.626614407,0.1632653,2162565.076610954,0.1632653,2118104.617690634,0.1632653,2074641.693252129,0.1632653,2032262.160893964,0.1632653,1991019.668306026,0.1632653,1950943.539701699,0.1632653,1912044.791938058,0.1632653,1874320.738133722,0.1632653,1837758.519254093,0.1632653,1802337.818327119,0.1632653,1768032.948802238,0.1632653,1734814.461847739,0.1632653,1702650.382592138,0.1632653,1671507.159290735
0.2040816,9198262.785077257,0.2040816,7643981.528606014,0.2040816,7889015.807802156,0.2040816,8357752.949592735,0.2040816,8741974.734189885,0.2040816,8993581.43455857,0.2040816,9128190.912399761,0.2040816,9172246.50102975,0.2040816,9149448.251103742,0.2040816,9078392.064831523,0.2040816,8973067.431786291,0.2040816,8843853.159844045,0.2040816,8698418.174181905,0.2040816,8542424.662948644,0.2040816,8380052.459670952,0.2040816,8214384.515026022,0.2040816,8047689.458652614,0.2040816,7881629.121264109,0.2040816,7717411.545929299,0.2040816,7555904.347228103,0.2040816,7397719.118850416,0.2040816,7243274.599320747,0.2040816,7092844.16821166,0.2040816,6946591.718819026,0.2040816,6804598.860564617,0.2040816,6666885.619001423,0.2040816,6533426.23401812,0.2040816,6404161.244800061,0.2040816,6279006.749123984,0.2040816,6157861.50343118,0.2040816,6040612.36669191,0.2040816,5927138.469611295,0.2040816,5817314.399948136
0.244898,32644745.22520148,0.244898,27016720.32116963,0.244898,27760118.25596756,0.244898,29298339.86391488,0.244898,30549614.32347723,0.244898,31347468.11471942,0.244898,31746786.18100723,0.244898,31839220.44673932,0.244898,31706492.05913047,0.244898,31412480.22214045,0.244898,31005069.71180808,0.244898,30519650.98052972,0.244898,29982262.0464912,0.244898,29412033.44007646,0.244898,28823007.89018908,0.244898,28225475.3911589,0.244898,27626949.74616418,0.244898,27032884.03045017,0.244898,26447196.70056027,0.244898,25872660.22713516,0.244898,25311189.57079762,0.244898,24764057.35008764,0.244898,24232055.07212371,0.244898,23715614.46162923,0.244898,23214899.11025308,0.244898,22729873.93183403,0.244898,22260357.93684538,0.244898,21806064.40959806,0.244898,21366631.52987638,0.244898,20941645.71694058,0.244898,20530659.41058654,0.244898,20133204.58650267,0.244898,19748802.9917503
0.2857143,114205226.2955286,0.2857143,94090972.33838083,0.2857143,96084687.40050593,0.2857143,100825035.8624854,0.2857143,104602989.6316879,0.2857143,106866659.9653267,0.2857143,107811879.0124801,0.2857143,107752585.1543549,0.2857143,106965367.3139058,0.2857143,105664683.5624982,0.2857143,104010133.4468469,0.2857143,102118797.2984264,0.2857143,100076115.5042481,0.2857143,97944287.7733945,0.2857143,95768491.50862266,0.2857143,93581423.195352,0.2857143,91406605.1409965,0.2857143,89260796.73741812,0.2857143,87155758.80399811,0.2857143,85099550.14771073,0.2857143,83097484.76147558,0.2857143,81152841.719484,0.2857143,79267393.93741375,0.2857143,77441803.55402111,0.2857143,75675918.57496402,0.2857143,73968996.04294899,0.2857143,72319870.2641288,0.2857143,70727079.7579747,0.2857143,69188963.06767555,0.2857143,67703730.98978166,0.2857143,66269520.88824769,0.2857143,64884437.35943115,0.2857143,63546582.47552485
0.3265306,389421531.6449256,0.3265306,319116705.4341271,0.3265306,322798206.4313265,0.3265306,335494893.9190024,0.3265306,345006797.2706065,0.3265306,349647841.1385413,0.3265306,350135987.9426326,0.3265306,347529936.5273091,0.3265306,342740892.99041,0.3265306,336464619.9492339,0.3265306,329211881.8253968,0.3265306,321352113.4253404,0.3265306,313150703.0728815,0.3265306,304797355.5697786,0.3265306,296426886.1123067,0.3265306,288134282.4161094,0.3265306,279985586.7565269,0.3265306,272025768.99266,0.3265306,264284440.7078127,0.3265306,256780018.7429379,0.3265306,249522771.388964,0.3265306,242517055.9152804,0.3265306,235762967.9525612,0.3265306,229257560.9258099,0.3265306,222995749.5903113,0.3265306,216970980.3420115,0.3265306,211175728.5617506,0.3265306,205601867.1599474,0.3265306,200240938.8680732,0.3265306,195084356.3846982,0.3265306,190123548.3196966,0.3265306,185350064.352573,0.3265306,180755649.6770825
0.3673469,1269719872.316293,0.3673469,1032687338.377774,0.3673469,1028108644.671595,0.3673469,1050357426.221089,0.3673469,1062153988.764468,0.3673469,1059192943.605127,0.3673469,1044259236.358148,0.3673469,1020903607.863312,0.3673469,992054638.7572199,0.3673469,959883637.421088,0.3673469,925939166.5953006,0.3673469,891304529.4907106,0.3673469,856726355.0676554,0.3673469,822710520.5489279,0.3673469,789591596.58355,0.3673469,757582607.728271,0.3673469,726810585.9463232,0.3673469,697341977.9430073,0.3673469,669200826.7861242,0.3673469,642381803.9106803,0.3673469,616859562.0511886,0.3673469,592595451.0631865,0.3673469,569542336.7471516,0.3673469,547648050.3143442,0.3673469,526857846.2762289,0.3673469,507116140.4740866,0.3673469,488367724.5691583,0.3673469,470558599.4523679,0.3673469,453636531.3630162,0.3673469,437551406.5991353,0.3673469,422255440.4650568,0.3673469,407703281.3559567,0.3673469,393852040.088388
