fT (L_var=3.5e-07) X,fT (L_var=3.5e-07) Y,fT (L_var=4e-07) X,fT (L_var=4e-07) Y,fT (L_var=4.5e-07) X,fT (L_var=4.5e-07) Y,fT (L_var=5e-07) X,fT (L_var=5e-07) Y,fT (L_var=5.5e-07) X,fT (L_var=5.5e-07) Y,fT (L_var=6e-07) X,fT (L_var=6e-07) Y,fT (L_var=6.5e-07) X,fT (L_var=6.5e-07) Y,fT (L_var=7e-07) X,fT (L_var=7e-07) Y,fT (L_var=7.5e-07) X,fT (L_var=7.5e-07) Y,fT (L_var=8e-07) X,fT (L_var=8e-07) Y,fT (L_var=8.5e-07) X,fT (L_var=8.5e-07) Y,fT (L_var=9e-07) X,fT (L_var=9e-07) Y,fT (L_var=9.5e-07) X,fT (L_var=9.5e-07) Y,fT (L_var=1e-06) X,fT (L_var=1e-06) Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04081633,4338.53446528364,0.04081633,3626.188223047051,0.04081633,3367.693117540597,0.04081633,3277.835877236137,0.04081633,3251.090721631931,0.04081633,3243.186741766973,0.04081633,3235.221169280228,0.04081633,3219.86903319599,0.04081633,3195.197433352041,0.04081633,3161.674844047607,0.04081633,3120.701822049758,0.04081633,3073.907596981761,0.04081633,3022.835810278216,0.04081633,2968.824241457609
0.08163265,17930.10887269668,0.08163265,14937.88659177052,0.08163265,13835.49026996331,0.08163265,13435.42607923622,0.08163265,13299.59720338397,0.08163265,13244.69056437127,0.08163265,13192.53528981249,0.08163265,13112.76463808317,0.08163265,12997.1992416849,0.08163265,12847.51537593163,0.08163265,12669.21163001534,0.08163265,12468.73159318186,0.08163265,12252.18308123155,0.08163265,12024.84992245591
0.122449,65887.58939118769,0.122449,54773.11307514563,0.122449,50637.62151399026,0.122449,49097.18279860293,0.122449,48537.26967635256,0.122449,48283.32536606915,0.122449,48047.76515852145,0.122449,47718.50739987367,0.122449,47264.76611280722,0.122449,46691.83747262399,0.122449,46019.03837819293,0.122449,45269.20708137617,0.122449,44464.03506629331,0.122449,43622.28633578587
0.1632653,237398.7095666716,0.1632653,196969.3273664133,0.1632653,181776.2440179191,0.1632653,175974.7849563592,0.1632653,173737.6141994649,0.1632653,172633.4166891167,0.1632653,171625.8579147795,0.1632653,170309.6542598233,0.1632653,168571.2203794029,0.1632653,166426.3290297206,0.1632653,163941.1335722393,0.1632653,161194.6667136016,0.1632653,158262.1858511153,0.1632653,155208.8111687749
0.2040816,847803.7091750447,0.2040816,702192.5175093525,0.2040816,646844.6009035991,0.2040816,625128.7007026067,0.2040816,616236.1816480596,0.2040816,611498.1803878127,0.2040816,607221.9052147964,0.2040816,601958.9475342894,0.2040816,595295.4314415703,0.2040816,587275.4757897849,0.2040816,578121.7932127963,0.2040816,568103.458204556,0.2040816,557477.3147280527,0.2040816,546465.5971282326
0.244898,2995848.828424192,0.244898,2477713.045417607,0.244898,2277880.726393595,0.244898,2196860.813576359,0.244898,2161363.768753757,0.244898,2140912.12039692,0.244898,2122543.34943261,0.244898,2101165.644494459,0.244898,2075299.918507143,0.244898,2045060.626630091,0.244898,2011182.566639803,0.244898,1974562.747562418,0.244898,1936058.386517045,0.244898,1896410.097928755
0.2857143,10397835.68805255,0.2857143,8590879.167499473,0.2857143,7879479.381099167,0.2857143,7578093.323513436,0.2857143,7434589.907341509,0.2857143,7344377.673472379,0.2857143,7263130.840457883,0.2857143,7173469.786777699,0.2857143,7070299.510335089,0.2857143,6953902.778366763,0.2857143,6826638.654973052,0.2857143,6691402.537882538,0.2857143,6550954.145048841,0.2857143,6407665.622499509
0.3265306,34953437.88757645,0.3265306,28864305.82099762,0.3265306,26388423.89799444,0.3265306,25269491.85159081,0.3265306,24675331.33807318,0.3265306,24262167.0204948,0.3265306,23885491.08301824,0.3265306,23489216.17960202,0.3265306,23057081.07052238,0.3265306,22589978.98050856,0.3265306,22095266.92613079,0.3265306,21581863.03127247,0.3265306,21058154.88993531,0.3265306,20531245.85256636
0.3673469,111115700.8285155,0.3673469,91701975.00881882,0.3673469,83361258.1928072,0.3673469,79191611.87969129,0.3673469,76637129.94908275,0.3673469,74652284.01310067,0.3673469,72806761.29567744,0.3673469,70939338.8730638,0.3673469,69006908.45887037,0.3673469,67015199.47569161,0.3673469,64986961.65066886,0.3673469,62947915.5611601,0.3673469,60921109.12410963,0.3673469,58925139.03810365
0.4081633,320656670.9921949,0.4081633,263734256.982592,0.4081633,236760582.7273586,0.4081633,221091764.534689,0.4081633,209827736.2935704,0.4081633,200230189.5514017,0.4081633,191237546.5139945,0.4081633,182491816.495232,0.4081633,173921023.738137,0.4081633,165556096.8646663,0.4081633,157453028.1573966,0.4081633,149662652.9380836,0.4081633,142221345.2123847,0.4081633,135150299.0843253
0.4489796,779909594.6629349,0.4489796,633479553.9306923,0.4489796,552920102.1706164,0.4489796,498184515.7007654,0.4489796,454715656.9746123,0.4489796,417050664.5586544,0.4489796,383170176.6287333,0.4489796,352332670.9379495,0.4489796,324229362.0959177,0.4489796,298670309.031778,0.4489796,275481660.8420324,0.4489796,254481599.6078168,0.4489796,235481878.3983719,0.4489796,218295103.9890057
0.4897959,1449753021.925463,0.4897959,1147524504.580874,0.4897959,959232665.7036862,0.4897959,823253535.0120757,0.4897959,716384742.5046668,0.4897959,628790580.0380532,0.4897959,555525795.0961425,0.4897959,493578882.9023338,0.4897959,440824750.7801085,0.4897959,395635636.0599325,0.4897959,356717495.7307751,0.4897959,323025495.9612374,0.4897959,293710086.9638379,0.4897959,268077545.0478346
0.5306122,2139916443.930114,0.5306122,1645443226.420716,0.5306122,1332061780.884496,0.5306122,1110815518.187637,0.5306122,944344552.262749,0.5306122,814107901.2135131,0.5306122,709549229.3417115,0.5306122,624022737.3391292,0.5306122,553044630.068047,0.5306122,493441614.521364,0.5306122,442889609.1666439,0.5306122,399642236.4354445,0.5306122,362360642.5315835,0.5306122,330001583.5072511
0.5714286,3057875430.009205,0.5714286,2311171787.925607,0.5714286,1850837311.495007,0.5714286,1534678864.209842,0.5714286,1301715273.255576,0.5714286,1121836228.533631,0.5714286,978429007.6169742,0.5714286,861471600.3304189,0.5714286,764465769.7305382,0.5714286,682950034.1818901,0.5714286,613722558.3179036,0.5714286,554406530.0249568,0.5714286,503191479.3621648,0.5714286,458670505.6483722
0.6122449,4423412154.643036,0.6122449,3336829938.565524,0.6122449,2666582706.458347,0.6122449,2207639792.430149,0.6122449,1870215621.642749,0.6122449,1609991166.888278,0.6122449,1402681714.491774,0.6122449,1233721871.262359,0.6122449,1093692678.099711,0.6122449,976128654.8611077,0.6122449,876385187.3235606,0.6122449,791010286.0445707,0.6122449,717372052.0338336,0.6122449,653424267.5765266
0.6530612,6072676784.814349,0.6530612,4605972296.55564,0.6530612,3681038750.15862,0.6530612,3041064586.52609,0.6530612,2568787994.354115,0.6530612,2204606996.815521,0.6530612,1915109867.822841,0.6530612,1679904430.866516,0.6530612,1485646067.332234,0.6530612,1323113506.173884,0.6530612,1185666233.894,0.6530612,1068371241.429052,0.6530612,967476069.427691,0.6530612,880072858.2827967
