gm_if_fT (L_var=3.5e-07) X,gm_if_fT (L_var=3.5e-07) Y,gm_if_fT (L_var=4e-07) X,gm_if_fT (L_var=4e-07) Y,gm_if_fT (L_var=4.5e-07) X,gm_if_fT (L_var=4.5e-07) Y,gm_if_fT (L_var=5e-07) X,gm_if_fT (L_var=5e-07) Y,gm_if_fT (L_var=5.5e-07) X,gm_if_fT (L_var=5.5e-07) Y,gm_if_fT (L_var=6e-07) X,gm_if_fT (L_var=6e-07) Y,gm_if_fT (L_var=6.5e-07) X,gm_if_fT (L_var=6.5e-07) Y,gm_if_fT (L_var=7e-07) X,gm_if_fT (L_var=7e-07) Y,gm_if_fT (L_var=7.5e-07) X,gm_if_fT (L_var=7.5e-07) Y,gm_if_fT (L_var=8e-07) X,gm_if_fT (L_var=8e-07) Y,gm_if_fT (L_var=8.5e-07) X,gm_if_fT (L_var=8.5e-07) Y,gm_if_fT (L_var=9e-07) X,gm_if_fT (L_var=9e-07) Y,gm_if_fT (L_var=9.5e-07) X,gm_if_fT (L_var=9.5e-07) Y,gm_if_fT (L_var=1e-06) X,gm_if_fT (L_var=1e-06) Y
0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan,0,-nan
0.04081633,135070.4905477732,0.04081633,112896.3935329328,0.04081633,104848.004480872,0.04081633,102048.5122739981,0.04081633,101213.4003801762,0.04081633,100964.7539489718,0.04081633,100714.2770695108,0.04081633,100234.0324918471,0.04081633,99463.89492988918,0.04081633,98418.46361283575,0.04081633,97141.33423468433,0.04081633,95683.21010215722,0.04081633,94092.12482518076,0.04081633,92409.70173157731
0.08163265,557892.0176154654,0.08163265,464814.9266645718,0.08163265,430508.6138681165,0.08163265,418045.4191441405,0.08163265,413800.2413124451,0.08163265,412072.1227128255,0.08163265,410430.3203958242,0.08163265,407930.8079485269,0.08163265,404319.4679479912,0.08163265,399648.5577378852,0.08163265,394089.0999176422,0.08163265,387841.4337080246,0.08163265,381095.41346445,0.08163265,374015.247240975
0.122449,2047888.535091596,0.122449,1702597.906322642,0.122449,1574018.749668315,0.122449,1526032.778182836,0.122449,1508499.542551837,0.122449,1500471.476375596,0.122449,1493020.199051213,0.122449,1482667.523486574,0.122449,1468459.052036784,0.122449,1450559.988490529,0.122449,1429570.221355497,0.122449,1406198.51587841,0.122449,1381117.754220245,0.122449,1354909.78347799
0.1632653,7364038.824815542,0.1632653,6110959.37728457,0.1632653,5639363.566659642,0.1632653,5458674.86333627,0.1632653,5388401.618830574,0.1632653,5353246.793181979,0.1632653,5321129.634478877,0.1632653,5279513.52481389,0.1632653,5224890.578649576,0.1632653,5157753.270460038,0.1632653,5080149.752416158,0.1632653,4994524.041952817,0.1632653,4903201.568416421,0.1632653,4808193.094354864
0.2040816,26201559.91540541,0.2040816,21707788.71561785,0.2040816,19995039.17124737,0.2040816,19319041.45909267,0.2040816,19038441.91251083,0.2040816,18886107.64540965,0.2040816,18748332.29573498,0.2040816,18580572.8893121,0.2040816,18370132.44185484,0.2040816,18118390.0104859,0.2040816,17832199.28358271,0.2040816,17519824.20632133,0.2040816,17189142.00057377,0.2040816,16846959.52457508
0.244898,91960339.11815467,0.244898,76094761.94826862,0.244898,69945877.65210091,0.244898,67427586.36208859,0.244898,66301208.71956094,0.244898,65636107.19986919,0.244898,65036982.74518667,0.244898,64348867.51142065,0.244898,63526897.35410975,0.244898,62574639.8629145,0.244898,61514433.27618131,0.244898,60373462.66322644,0.244898,59177644.25733621,0.244898,57949315.98012862
0.2857143,315293886.1137257,0.2857143,260732947.7042378,0.2857143,239068490.3868427,0.2857143,229739426.6716608,0.2857143,225167297.3772441,0.2857143,222209950.1512002,0.2857143,219538459.4277532,0.2857143,216633263.3564838,0.2857143,213342592.907625,0.2857143,209674951.0578939,0.2857143,205700283.7982843,0.2857143,201504101.7530876,0.2857143,197167590.3779289,0.2857143,192760240.7510128
0.3265306,1037764961.604114,0.3265306,858247806.6277094,0.3265306,784222002.5165793,0.3265306,749958585.9236813,0.3265306,731126269.8129663,0.3265306,717679840.8131961,0.3265306,705408225.3695549,0.3265306,692682025.7595531,0.3265306,679028834.628179,0.3265306,664471209.2016283,0.3265306,649216352.6381488,0.3265306,633514875.5416769,0.3265306,617601152.1104206,0.3265306,601672219.1448874
0.3673469,3189314081.565909,0.3673469,2638103727.036463,0.3673469,2396303665.821378,0.3673469,2271839892.548968,0.3673469,2193181814.409225,0.3673469,2131075490.518711,0.3673469,2073507941.368351,0.3673469,2015977975.715829,0.3673469,1957259844.588392,0.3673469,1897471032.958497,0.3673469,1837192292.771019,0.3673469,1777083083.679664,0.3673469,1717729240.457654,0.3673469,1659596278.20857
0.4081633,8772570820.570595,0.4081633,7237910614.403874,0.4081633,6491704259.888679,0.4081633,6046628017.81559,0.4081633,5720931293.938649,0.4081633,5442375516.710508,0.4081633,5182895076.17994,0.4081633,4932878994.713317,0.4081633,4690170502.300846,0.4081633,4455280521.963764,0.4081633,4229373435.555765,0.4081633,4013494813.486826,0.4081633,3808338363.288397,0.4081633,3614231079.095966
0.4489796,20120892959.34267,0.4489796,16407981514.0249,0.4489796,14310593245.55316,0.4489796,12859822350.55243,0.4489796,11699608415.01303,0.4489796,10695316909.77773,0.4489796,9796230801.687904,0.4489796,8982674547.012674,0.4489796,8245502926.8079,0.4489796,7578564731.138879,0.4489796,6976268717.97287,0.4489796,6433021473.251587,0.4489796,5943259729.691781,0.4489796,5501608548.599264
0.4897959,34869444125.30988,0.4897959,27755979536.00327,0.4897959,23191556791.06395,0.4897959,19846038209.6927,0.4897959,17204297055.07552,0.4897959,15040969374.89438,0.4897959,13237866678.50697,0.4897959,11720124103.03055,0.4897959,10433649387.92542,0.4897959,9336647248.952063,0.4897959,8395891699.564857,0.4897959,7584663068.231491,0.4897959,6881355498.403049,0.4897959,6268429859.411248
0.5306122,46533173509.6553,0.5306122,36107020299.39591,0.5306122,29221387783.38501,0.5306122,24265298077.41928,0.5306122,20511717530.83059,0.5306122,17576506646.39878,0.5306122,15229524995.93983,0.5306122,13320648581.47779,0.5306122,11746416842.48066,0.5306122,10432831132.35294,0.5306122,9325510056.284883,0.5306122,8383631738.525755,0.5306122,7576014055.203633,0.5306122,6878483299.683486
0.5714286,57213249477.19823,0.5714286,43818279181.88257,0.5714286,35084415147.10147,0.5714286,28922382595.42383,0.5714286,24338476072.6527,0.5714286,20800468912.15318,0.5714286,17995586464.72135,0.5714286,15726356804.17764,0.5714286,13860935955.511,0.5714286,12307359230.31085,0.5714286,10999240490.46182,0.5714286,9887344422.638157,0.5714286,8934358150.188335,0.5714286,8111501921.333882
0.6122449,68280722477.26152,0.6122449,52359700052.44383,0.6122449,41855089672.60631,0.6122449,34425766224.60509,0.6122449,28901604546.96117,0.6122449,24643994840.0545,0.6122449,21275043675.07809,0.6122449,18555352953.81901,0.6122449,16324712001.61576,0.6122449,14471199205.6086,0.6122449,12913974721.32708,0.6122449,11593103203.45685,0.6122449,10463211598.42002,0.6122449,9489359599.888208
0.6530612,75937961321.7218,0.6530612,58649082236.50828,0.6530612,46926116736.12791,0.6530612,38531816673.6612,0.6530612,32263418229.61376,0.6530612,27432291109.13411,0.6530612,23617695839.36179,0.6530612,20547618195.58741,0.6530612,18037908760.11785,0.6530612,15959244813.12089,0.6530612,14218113800.73244,0.6530612,12745281710.61731,0.6530612,11488481924.97721,0.6530612,10407604193.84783
0.6938776,78732913345.86159,0.6938776,61244475844.95126,0.6938776,49101411105.58487,0.6938776,40305504396.26196,0.6938776,33707629554.41957,0.6938776,28618476038.49714,0.6938776,24603980077.7308,0.6938776,21378433373.70188,0.6938776,18746573743.45034,0.6938776,16570715817.31611,0.6938776,14751216748.36925,0.6938776,13214373974.56105,0.6938776,11904650195.04424,0.6938776,10779519795.59949
0.7346939,78086769055.17911,0.7346939,61090815579.28535,0.7346939,49103176565.65455,0.7346939,40347055851.39976,0.7346939,33752746987.23463,0.7346939,28657842047.02065,0.7346939,24636705959.18894,0.7346939,21405814803.60984,0.7346939,18770123956.58184,0.7346939,16591649038.55683,0.7346939,14770392062.3982,0.7346939,13232362148.35994,0.7346939,11921815322.88482,0.7346939,10796086377.8463
0.7755102,75783182489.18201,0.7755102,59556655524.83111,0.7755102,48001577615.67959,0.7755102,39511698892.32473,0.7755102,33095236824.84837,0.7755102,28126766526.1478,0.7755102,24199591862.24549,0.7755102,21040760500.96554,0.7755102,18461619627.19781,0.7755102,16328313080.68892,0.7755102,14543648729.94006,0.7755102,13035617507.93813,0.7755102,11749916477.2295,0.7755102,10644952040.65265
0.8163265,72939052378.03752,0.8163265,57535970998.19931,0.8163265,46500458153.26064,0.8163265,38356614404.60754,0.8163265,32181952509.51709,0.8163265,27389079644.15241,0.8163265,23593348971.0218,0.8163265,20535317999.87937,0.8163265,18035020252.3328,0.8163265,15964411681.30016,0.8163265,14230317754.07845,0.8163265,12763581832.94541,0.8163265,11511971852.94213,0.8163265,10435426437.23489
0.8571429,70069735828.56442,0.8571429,55453896984.64989,0.8571429,44937023378.78921,0.8571429,37147984301.66232,0.8571429,31224897678.53239,0.8571429,26616004345.13637,0.8571429,22958368885.27406,0.8571429,20006293361.20924,0.8571429,17588825640.28924,0.8571429,15584020733.17562,0.8571429,13902943694.18599,0.8571429,12479454724.69921,0.8571429,11263512740.78935,0.8571429,10216676317.81168
0.8979592,67358900774.68217,0.8979592,53468371596.98011,0.8979592,43438185973.04115,0.8979592,35986063122.32325,0.8979592,30303553211.27008,0.8979592,25871301003.21125,0.8979592,22346547912.69636,0.8979592,19496552560.81276,0.8979592,17158937559.8021,0.8979592,15217592274.44004,0.8979592,13587651418.69552,0.8979592,12205877273.88473,0.8979592,11024339140.06676,0.8979592,10006157202.25708
0.9387755,64845064762.07458,0.9387755,51617506732.70955,0.9387755,42035917836.27435,0.9387755,34896300791.13043,0.9387755,29437938217.93544,0.9387755,25170791376.68948,0.9387755,21770534335.29636,0.9387755,19016346476.88775,0.9387755,16753780523.48972,0.9387755,14872142338.72997,0.9387755,13290355944.96974,0.9387755,11947892051.45914,0.9387755,10798793220.81784,0.9387755,9807642059.612864
0.9795918,62514897552.6503,0.9795918,49895218002.28384,0.9795918,40726822807.32579,0.9795918,33876273842.08949,0.9795918,28626004814.44726,0.9795918,24512608704.31068,0.9795918,21228584537.97031,0.9795918,18564039299.52087,0.9795918,16371822283.81186,0.9795918,14546239360.8042,0.9795918,13009722467.13094,0.9795918,11704255906.42888,0.9795918,10585717618.40632,0.9795918,9620053119.236362
1.020408,60342461977.33811,1.020408,48283705177.36638,1.020408,39497890742.55946,1.020408,32915974352.46929,1.020408,27859758829.60262,1.020408,23890188751.41943,1.020408,20715195342.14198,1.020408,18134941974.76043,1.020408,16009014799.15384,1.020408,14236350464.9866,1.020408,12742639122.81535,1.020408,11472205896.34019,1.020408,10382642040.82877,1.020408,9441168105.821541
