v /net5; ac dB20(V) X,v /net5; ac dB20(V) Y
1,-59.83412231999955
1.445439770745927,-59.83412231999938
2.089296130854039,-59.83412232000028
3.019951720402016,-59.83412231999832
4.365158322401658,-59.83412231999682
6.309573444801931,-59.83412231999492
9.120108393559095,-59.83412231999337
13.18256738556407,-59.83412231998093
19.05460717963247,-59.83412231996233
27.54228703338165,-59.8341223199176
39.81071705534971,-59.83412231983775
57.54399373371566,-59.83412231964849
83.17637711026705,-59.83412231926388
120.2264434617412,-59.83412231848039
173.7800828749374,-59.83412231682735
251.1886431509578,-59.83412231337934
363.0780547701011,-59.83412230616563
524.8074602497721,-59.83412229111468
758.5775750291831,-59.83412225965707
1096.478196143184,-59.8341221939076
1584.893192461112,-59.83412205656875
2290.867652767771,-59.83412176961039
3311.311214825907,-59.83412117007343
4786.300923226378,-59.83411991746075
6918.309709189358,-59.83411730038349
9999.999999999989,-59.83411183255595
14454.39770745926,-59.83410040863778
20892.96130854037,-59.83407654082286
30199.51720402012,-59.83402667436258
43651.58322401653,-59.8339224906449
63095.73444801923,-59.83370482917179
91201.08393559082,-59.83325010981161
131825.6738556405,-59.83230024055997
190546.0717963244,-59.83031644193009
275422.8703338162,-59.82617500918785
398107.1705534965,-59.81753672809556
575439.9373371558,-59.79955119602309
831763.7711026693,-59.76224238847146
1202264.43461741,-59.68542884628319
1737800.828749372,-59.52960259445021
2511886.431509574,-59.22208977884506
3630780.547701005,-58.64311622471561
5248074.602497714,-57.62754815726682
7585775.75029182,-56.00263016016599
10964781.96143182,-53.65045520450929
15848931.9246111,-50.52960065497059
22908676.52767767,-46.63832790462898
33113112.14825903,-42.01576567123141
47863009.23226371,-36.800647982233
69183097.09189346,-31.24873749984225
100000000,-25.7314266977394
