v /net04; ac dB20(V) X,v /net04; ac dB20(V) Y,v /net04; ac deg(V) X,v /net04; ac deg(V) Y
1,-0.0001714495478400169,1,-0.3599959826878878
1.99526231496888,-0.000682512784087745,1.99526231496888,-0.7182582428268308
3.981071705534974,-0.002716496092849975,3.981071705534974,-1.432889881262761
7.943282347242819,-0.0108044976587639,7.943282347242819,-2.857216569853565
15.84893192461115,-0.04285489249591297,15.84893192461115,-5.686878305216911
31.62277660168382,-0.1681550961617382,31.62277660168382,-11.23786332066122
63.0957344480194,-0.6339593700515553,63.0957344480194,-21.62550600623472
125.8925411794169,-2.110382697810083,125.8925411794169,-38.34428737107122
251.1886431509584,-5.429404854994035,251.1886431509584,-57.64147329544603
501.1872336272731,-10.38085407670872,501.1872336272731,-72.38264623913648
1000.000000000002,-16.07224373729031,1000.000000000002,-80.95730781423083
1995.262314968884,-21.99115124033596,1995.262314968884,-85.44009954112884
3981.071705534982,-27.97054154155258,3981.071705534982,-87.71208883110691
7943.282347242835,-33.96534922103869,7943.282347242835,-88.85501199872368
15848.93192461118,-39.96404402321129,15848.93192461118,-89.4303614194055
31622.77660168389,-45.96371623097269,31622.77660168389,-89.72302176717433
63095.73444801952,-51.96363436825646,63095.73444801952,-89.87818996275563
125892.5411794171,-57.96361571141145,125892.5411794171,-89.97288732182517
251188.6431509589,-63.96361861445493,251188.6431509589,-90.05412476642165
501187.2336272741,-69.96364955764903,501187.2336272741,-90.16223203553669
1000000.000000004,-75.96377761192623,1000000.000000004,-90.35087600538441
1995262.314968888,-81.96428859074329,1995262.314968888,-90.71368581321288
3981071.705534989,-87.96632254522763,3981071.705534989,-91.43059502003172
7943282.34724285,-93.97441050929437,7943282.34724285,-92.85606000415183
15848931.92461121,-100.0064607754138,15848931.92461121,-95.68628593688985
31622776.60168394,-106.1317604895636,31622776.60168394,-101.2375416679298
63095734.44801964,-112.5975630636975,63095734.44801964,-111.6252995082203
125892541.1794174,-120.0739820648714,125892541.1794174,-128.3441138594182
251188643.1509593,-129.3929985125316,251188643.1509593,-147.6412947571152
501187233.627275,-140.3444443492632,501187233.627275,-162.3824145614883
1000000000.000006,-152.0358328475491,1000000000.000006,-170.956920908428
1995262314.968891,-163.9547400307542,1995262314.968891,-175.439367594366
3981071705.534997,-175.9341302478235,3981071705.534997,-177.7106487823392
7943282347.242865,-187.9289378984604,7943282347.242865,-178.852148976855
15848931924.61124,-199.9276326631645,15848931924.61124,-179.4246540836608
31622776601.684,-211.9273047412289,31622776601.684,-179.7116367140509
63095734448.01975,-223.9272223670717,63095734448.01975,-179.8554750886858
125892541179.4176,-235.9272016753735,125892541179.4176,-179.9275658444723
251188643150.9598,-247.9271964778384,251188643150.9598,-179.9636969114887
501187233627.2759,-259.9271951722756,501187233627.2759,-179.9818053536737
1000000000000.007,-271.927194844333,1000000000000.007,-179.9908810753114
1995262314968.895,-283.9271947619576,1995262314968.895,-179.9954297113328
3981071705535.003,-295.9271947412658,3981071705535.003,-179.9977094296624
7943282347242.878,-307.9271947360683,7943282347242.878,-179.9988519953886
15848931924611.26,-319.9271947347627,15848931924611.26,-179.9994246347446
31622776601684.05,-331.9271947344347,31622776601684.05,-179.9997116342793
63095734448019.86,-343.9271947343524,63095734448019.86,-179.9998554747822
125892541179417.8,-355.9271947343317,125892541179417.8,-179.9999275658059
251188643150960.2,-367.9271947343265,251188643150960.2,-179.9999636969066
501187233627276.8,-379.9271947343252,501187233627276.8,-179.9999818053531
1000000000000000,-391.9271947343247,1000000000000000,-179.9999908810752
