freq (Hz),OUT (V)
1.000,36.31
1.514,36.31
2.291,36.31
3.467,36.31
5.248,36.31
7.943,36.31
12.02,36.31
18.20,36.31
27.54,36.31
41.69,36.31
63.10,36.31
95.50,36.31
144.5,36.31
218.8,36.31
331.1,36.31
501.2,36.31
758.6,36.31
1.148E3,36.31
1.738E3,36.31
2.630E3,36.30
3.981E3,36.29
6.026E3,36.27
9.120E3,36.21
13.80E3,36.08
20.89E3,35.78
31.62E3,35.14
47.86E3,33.77
72.44E3,31.17
109.6E3,26.92
166.0E3,21.41
251.2E3,15.77
380.2E3,11.02
575.4E3,7.481
871.0E3,5.002
1.318E6,3.323
1.995E6,2.201
3.020E6,1.455
4.571E6,962.0E-3
6.918E6,635.6E-3
10.47E6,419.8E-3
15.85E6,277.2E-3
23.99E6,182.9E-3
36.31E6,120.4E-3
54.95E6,78.93E-3
83.18E6,51.24E-3
125.9E6,32.63E-3
190.5E6,20.08E-3
288.4E6,11.89E-3
436.5E6,7.098E-3
660.7E6,4.656E-3
1.000E9,3.316E-3
