freq (Hz),OUT (V)
1.000,16.07E3
1.514,16.07E3
2.291,16.07E3
3.467,16.07E3
5.248,16.07E3
7.943,16.07E3
12.02,16.07E3
18.20,16.07E3
27.54,16.07E3
41.69,16.07E3
63.10,16.07E3
95.50,16.06E3
144.5,16.05E3
218.8,16.02E3
331.1,15.94E3
501.2,15.78E3
758.6,15.42E3
1.148E3,14.67E3
1.738E3,13.31E3
2.630E3,11.23E3
3.981E3,8.714E3
6.026E3,6.303E3
9.120E3,4.357E3
13.80E3,2.940E3
20.89E3,1.961E3
31.62E3,1.301E3
47.86E3,861.4
72.44E3,569.6
109.6E3,376.4
166.0E3,248.7
251.2E3,164.4
380.2E3,108.6
575.4E3,71.75
871.0E3,47.40
1.318E6,31.32
1.995E6,20.69
3.020E6,13.68
4.571E6,9.054
6.918E6,6.031
10.47E6,4.086
15.85E6,2.852
23.99E6,2.071
36.31E6,1.592
54.95E6,1.311
83.18E6,1.130
125.9E6,940.4E-3
190.5E6,705.2E-3
288.4E6,463.3E-3
436.5E6,231.3E-3
660.7E6,92.36E-3
1.000E9,34.55E-3
